month,firm_id,num_workers,price,wage,inventory
1,1075,1,25.0,1428.0,3.0
1,1076,1,25.315308528724472,1428.0,3.0
1,1077,1,25.042431242336388,1428.0,3.0
1,1078,1,25.367662091513964,1428.0,3.0
1,1079,1,25.096546359454706,1428.0,3.0
1,1080,1,25.296472714239677,1428.0,3.0
1,1081,1,25.03149631542243,1428.0,3.0
1,1082,1,25.15386543981613,1428.0,3.0
1,1083,1,25.41712514613486,1428.0,3.0
1,1084,1,25.49791681400097,1428.0,3.0
1,1085,1,25.0,1428.0,3.0
1,1086,1,25.021407266726747,1428.0,3.0
1,1087,1,25.4035518529037,1428.0,3.0
1,1088,1,25.22918518237803,1428.0,3.0
1,1089,1,25.437127696486417,1428.0,3.0
1,1090,1,25.0,1428.0,3.0
1,1091,1,25.01843883371152,1428.0,3.0
1,1092,1,25.32691576338955,1428.0,3.0
1,1093,1,25.45900953791429,1428.0,3.0
1,1094,1,25.350648405584643,1428.0,3.0
1,1095,1,25.08612450447925,1428.0,3.0
1,1096,1,25.0,1428.0,3.0
1,1097,1,25.228092296463352,1428.0,3.0
1,1098,1,25.0,1428.0,3.0
1,1099,1,25.05316560012914,1428.0,3.0
1,1100,1,25.39958761116724,1428.0,3.0
2,1001,2,25.738649670819214,1428.0,6.0
2,1002,2,25.22009250419587,1428.0,6.0
2,1003,2,25.114003174165816,1428.0,6.0
2,1004,2,25.172537859731637,1428.0,6.0
2,1005,2,25.552050715095014,1428.0,6.0
2,1006,2,25.11521554935425,1428.0,6.0
2,1007,2,25.53659667938149,1428.0,6.0
2,1008,2,25.72782134792855,1428.0,6.0
2,1009,2,25.304892872895408,1428.0,6.0
2,1010,2,25.396211614297815,1428.0,6.0
2,1011,2,25.435138867924863,1428.0,6.0
2,1012,2,25.480890373253516,1428.0,6.0
2,1013,2,25.422638252839363,1428.0,6.0
2,1014,2,25.44201650404825,1428.0,6.0
2,1015,2,25.590460927178164,1428.0,6.0
2,1016,2,25.47809182794481,1428.0,6.0
2,1017,2,25.0,1428.0,6.0
2,1018,2,25.432802065913396,1428.0,6.0
2,1019,2,25.26209526272034,1428.0,6.0
2,1020,2,25.245031662038787,1428.0,6.0
2,1021,2,25.374545455879705,1428.0,6.0
2,1022,2,25.2943621455524,1428.0,6.0
2,1023,2,25.659332793280722,1428.0,6.0
2,1024,2,25.08995832619544,1428.0,6.0
2,1025,2,25.08831878077758,1428.0,6.0
2,1026,2,25.45777918434217,1428.0,6.0
2,1027,2,25.156101269450964,1428.0,6.0
2,1028,2,25.576463551679694,1428.0,6.0
2,1029,2,25.12749892209913,1428.0,6.0
2,1030,2,25.106712950546513,1428.0,6.0
2,1031,2,25.36875411526667,1428.0,6.0
2,1032,2,25.475244479624127,1428.0,6.0
2,1033,2,25.85751974896108,1428.0,6.0
2,1034,2,25.835728512462307,1428.0,6.0
2,1035,2,25.0,1428.0,6.0
2,1036,2,25.421924487151472,1428.0,6.0
